A24a	A24a'	A24b	A24b'	A25	A29a	A29b	A29c	A30	A32	APir	Au1	AuD	AuV	cc/ec	CEnt	cg	Cl	CxA	DCl	DEn	df	dhc	DIEnt	DLEnt	DLO	DS	DTT	Ect	fmi	Fr3	FrA	IEn	Ins	LO	lo	LPtA	M1	M2	MEnt	MO	MPtA	PaS	Pir	PLCo	PMCo	Post	PRh	PrS	PtPR	RAPir	S1	S1BF	S1DZ	S1FL	S1HL	S1J	S1Sh	S1Tr	S1ULp	S2	STr	TeA	V1	V1B	V1M	V2L	V2ML	V2MM	VCl	VEn	VIEnt	VO	VTT
24.229046	27.216272	27.566427	24.153683	16.019445	15.58025	1.4806005	22.603724	12.836293	9.07248	5.426028	22.109266	23.189821	23.471916	22.711903	0.0	23.2355	16.307598	2.197629	18.724045	14.01594	20.894972	6.704388	5.1332674	7.5492635	0.0	21.142902	5.3291454	13.147775	19.603825	15.979045	0.0	10.915391	13.046836	3.9319842	6.250879	26.775385	21.634115	18.434793	0.0	0.6605497	26.185205	0.0	7.6342783	2.0903406	1.802456	1.4057863	10.510581	0.0	27.376364	1.9351737	21.936838	27.712513	25.195211	26.793865	25.4221	23.794537	23.1075	25.720524	25.939175	22.311388	0.0	11.780571	5.5995755	7.9560304	9.104295	8.666551	13.904962	6.6605725	16.213387	8.860044	1.5220951	0.8391241	1.6662704
24.032692	26.985487	27.551407	24.181055	16.016376	15.709743	1.4807957	22.588625	12.993492	9.005265	5.3817186	21.94921	23.046436	23.251328	22.746895	0.0	23.401924	15.970271	2.1347752	18.543438	14.064684	20.13331	6.670819	5.1457157	7.554258	0.0	21.01387	5.3581605	13.046801	19.463696	16.082561	0.0	10.974408	13.014895	3.8527994	6.0069475	26.779922	21.631237	18.429295	0.0	0.65046245	25.813951	0.0	7.523073	1.9801819	1.8849688	1.4062983	10.481067	0.0	27.192764	2.0019345	22.037748	27.639246	24.95584	26.69387	25.560135	23.82162	23.129972	25.570417	25.97279	22.304777	0.0	11.74644	5.628383	8.001667	9.014958	8.650385	13.853846	6.602719	16.446316	8.993236	1.5546739	0.82656735	1.8303041
23.965342	26.852455	27.536009	24.077133	15.961501	15.719603	1.5053635	22.619413	13.0097	9.04576	5.2504916	22.236713	23.117874	23.177969	22.75286	0.0	23.438274	16.066706	1.9523202	18.621614	13.832084	19.784687	6.633416	5.072635	7.5442805	0.0	21.045172	5.3447404	13.072687	19.608898	16.202852	0.0	10.929294	12.9922905	3.8658383	6.0307326	26.487175	21.64916	18.369991	0.0	0.6455242	26.046364	0.0	7.5420156	2.0047326	1.8450367	1.4108734	10.426106	0.0	26.916946	1.8255528	22.020857	27.666632	25.090267	26.759645	25.34958	23.770468	23.030914	25.489159	25.967007	22.267698	0.0	11.597426	5.597668	8.020675	9.064414	8.701103	13.959662	6.635063	16.217573	8.993914	1.5010363	0.82354796	1.8219401
24.031866	26.694153	27.546427	23.92295	15.988957	15.450041	1.4738475	22.421629	12.853265	9.078366	5.216151	22.220722	23.007093	23.322184	22.644464	0.0	23.304552	16.174746	2.2051075	18.661736	13.87818	20.078573	6.6243567	5.1061783	7.469664	0.0	20.880655	5.332321	13.105407	19.53111	16.095749	0.0	10.888895	13.027944	3.9158933	6.0078344	26.654375	21.672659	18.380348	0.0	0.6453826	25.804049	0.0	7.6379633	2.0743866	1.8704664	1.3977668	10.404501	0.0	27.082417	2.0646074	22.016964	27.570126	25.08989	26.619179	25.342484	23.804104	23.00186	25.458155	25.877132	22.203331	0.0	11.692759	5.6148915	7.96955	9.050098	8.6868105	13.733886	6.5283966	16.147139	8.937424	1.5386941	0.8240244	1.5578445
23.77378	26.538834	27.411316	23.857271	16.064661	15.627272	1.4661511	22.372047	12.754935	8.969424	5.4056983	21.973452	22.89567	23.245558	22.6484	0.0	23.150145	16.034756	2.1705365	18.639782	13.85924	20.111609	6.715844	5.07394	7.5729637	0.0	20.947493	5.3108454	13.106852	19.424673	15.992076	0.0	10.829348	13.098097	3.8745499	6.0189757	26.947504	21.560862	18.266754	0.0	0.6396532	25.858961	0.0	7.555353	2.1177657	1.9530689	1.4096397	10.515163	0.0	27.184832	2.1105223	21.866016	27.477037	25.032612	26.527637	25.368752	23.808907	23.03396	25.664581	25.878994	22.213018	0.0	11.6123905	5.6331925	8.025604	9.133625	8.67234	13.911874	6.623724	16.239794	8.90818	1.5601681	0.82579607	1.7188064
23.79359	26.747246	27.273405	23.830809	16.022293	15.516023	1.4780345	22.46789	12.651724	8.96457	5.3221073	21.887157	22.839012	23.237272	22.666996	0.0	23.270388	16.053118	2.0717225	18.593174	13.85483	20.341524	6.726647	5.0767164	7.5339026	0.0	20.785282	5.35045	12.9427395	19.422869	15.969115	0.0	10.740263	12.969839	3.8953311	6.0184975	26.852331	21.51262	18.297194	0.0	0.6497437	25.7464	0.0	7.5174522	1.9235288	1.8579451	1.3842684	10.381056	0.0	27.369669	1.9770633	21.841024	27.446554	24.968693	26.562376	25.275957	23.771568	22.92465	25.669853	25.653687	22.24994	0.0	11.586845	5.59972	7.929519	9.045177	8.611949	13.802292	6.5806403	15.980885	8.900275	1.5424019	0.81720394	1.7433199
23.823416	26.423098	27.17751	23.501663	15.796615	15.299622	1.4577731	22.104471	12.692046	8.97712	5.0972805	21.874846	22.782234	23.162493	22.57484	0.0	23.180979	15.869187	2.2193856	18.74111	13.920458	19.704672	6.6735964	5.0718555	7.4701138	0.0	20.842278	5.29567	12.881342	19.351233	15.965664	0.0	10.733082	12.975528	3.8492064	5.994186	26.444218	21.567791	18.202093	0.0	0.6424722	25.822996	0.0	7.547127	1.9677799	1.8284783	1.3930223	10.387186	0.0	27.311144	1.8325996	21.871426	27.36695	24.84121	26.58688	25.323856	23.774128	22.850876	25.495419	25.745165	22.135532	0.0	11.548399	5.6201277	7.9638267	9.074895	8.587375	13.631591	6.6202044	16.23756	8.821777	1.5230412	0.81746227	1.5830498
23.665201	26.170948	27.004972	23.373585	15.907233	15.491196	1.483146	22.177935	12.830552	9.019905	5.211907	21.983837	22.940243	23.019384	22.549158	0.0	23.010687	16.141926	2.1988032	18.73517	13.862642	20.194057	6.7066274	5.159122	7.4428406	0.0	20.933826	5.2130113	12.916681	19.522501	15.928365	0.0	10.897265	12.995981	3.8803391	5.99408	26.586958	21.485115	18.207714	0.0	0.6406138	25.844309	0.0	7.56276	1.9165772	1.868849	1.4144449	10.433767	0.0	26.782658	1.8646384	21.785563	27.331358	24.938206	26.383827	25.108116	23.809248	23.022684	25.295582	25.75192	22.005875	0.0	11.596774	5.5512905	7.923962	9.034669	8.577322	13.766906	6.6059113	16.253378	8.965474	1.5107956	0.8173883	1.5792682
23.571507	26.2852	27.062578	23.593567	15.922395	15.289403	1.4424875	21.978882	12.745879	8.871645	5.287547	21.74744	22.610582	22.83843	22.490839	0.0	23.098581	15.909704	2.0680437	18.684412	13.784075	20.069992	6.6304803	5.112982	7.526312	0.0	21.026789	5.310184	12.917993	19.390022	15.879997	0.0	10.762166	12.867318	3.8649495	5.863424	26.285734	21.418682	18.050375	0.0	0.6513185	25.646872	0.0	7.457277	1.9478023	1.8875095	1.4182509	10.262857	0.0	26.922548	1.9468839	21.66983	27.148468	24.763147	26.2612	25.00167	23.428375	22.751337	25.251694	25.524536	21.850773	0.0	11.596571	5.53172	7.870235	8.9778	8.571295	13.687091	6.596303	16.158144	8.771781	1.5137347	0.81524014	1.5830624
23.297653	26.197123	27.033686	23.772339	15.870122	15.330879	1.4708902	22.28414	12.795258	8.90671	5.1565304	21.747013	22.746359	22.942377	22.473606	0.0	23.270296	15.84226	2.0579667	18.555302	13.873327	20.337347	6.6666107	4.960135	7.411837	0.0	21.072521	5.237695	12.914337	19.222342	15.762239	0.0	10.631528	12.907455	3.8266144	5.827469	26.495424	21.339123	18.149542	0.0	0.6394252	25.604807	0.0	7.502935	1.9015449	1.8692644	1.4250729	10.291211	0.0	27.180725	1.9940412	21.590984	27.050186	24.775362	26.32251	24.841856	23.464619	22.761297	25.330032	25.424635	21.78673	0.0	11.512357	5.5533977	7.9180846	9.064489	8.487675	13.797508	6.4652333	16.033573	8.965462	1.480617	0.8145671	1.5729989
23.465858	26.160103	26.937244	23.279705	15.683869	15.260954	1.4714861	22.16327	12.782252	8.90792	5.4356027	21.813713	22.798014	23.026659	22.484846	0.0	23.066162	15.944735	2.132595	18.512638	13.782116	19.967447	6.6691895	5.025481	7.4280853	0.0	21.07295	5.2585716	12.899674	19.389572	16.057251	0.0	10.754366	12.976222	3.8552425	5.782212	26.40277	21.415005	18.13478	0.0	0.63547945	25.487946	0.0	7.5369534	2.0465248	1.9300019	1.4195439	10.243028	0.0	26.879667	2.175524	21.750662	27.208462	24.77037	26.461277	25.078348	23.756308	22.816896	25.282707	25.531595	21.856604	0.0	11.546514	5.487882	7.8810625	8.909394	8.53344	13.602341	6.5333247	16.199135	8.934301	1.5458161	0.82280517	1.6501662
23.52359	26.403225	26.984781	23.40909	15.982481	15.244593	1.463595	22.080141	12.760933	8.91124	5.1384473	21.894093	22.866642	22.892536	22.441292	0.0	22.996918	15.937406	2.1352854	18.690939	13.859314	20.414999	6.6035967	5.015692	7.5540695	0.0	20.822226	5.349312	12.927225	19.264488	15.948679	0.0	10.915796	12.885054	3.8512251	6.0492325	26.32052	21.450907	18.15414	0.0	0.64121014	25.69651	0.0	7.5092278	1.9672478	1.8651438	1.3847843	10.3653965	0.0	26.604776	1.863403	21.875298	27.248768	24.937424	26.474049	25.141245	23.929533	23.026917	25.352385	25.72416	22.094006	0.0	11.558868	5.4856896	7.934375	8.919295	8.607626	13.711518	6.6181936	16.050913	9.15731	1.5383168	0.81266344	1.6588488
23.86111	26.578497	27.19847	23.771282	16.153791	15.417987	1.4586103	22.238033	12.812323	8.874355	5.3540945	21.880444	22.906569	23.085976	22.501425	0.0	23.176601	16.082836	2.0891268	18.625467	13.815417	20.156696	6.667694	5.0519156	7.4508953	0.0	20.986662	5.309704	12.931625	19.31776	15.953973	0.0	10.843967	12.961845	3.8961494	5.9777865	26.42541	21.506306	18.298477	0.0	0.65280193	25.6753	0.0	7.514921	1.9438885	1.7671504	1.3866593	10.436452	0.0	26.799126	2.127703	21.954805	27.4367	24.908943	26.57734	25.196812	23.834213	23.338205	25.310541	25.818687	22.200945	0.0	11.614161	5.520128	7.819099	8.987934	8.5223875	13.817624	6.567543	15.792699	8.888174	1.4983753	0.8184612	1.5875401
24.082428	26.615387	27.61286	23.846361	16.083424	15.623941	1.49773	22.512571	12.914675	9.026741	5.321012	21.809711	22.963034	22.941536	22.545527	0.0	23.153776	16.019949	2.0593266	18.536972	13.853454	20.3202	6.6471324	5.1716633	7.5448337	0.0	20.9056	5.4026427	12.940692	19.307997	16.11822	0.0	10.663072	13.049966	3.8971262	5.9519067	26.332779	21.619417	18.371992	0.0	0.65069205	25.703968	0.0	7.516489	1.8853647	1.8416775	1.394726	10.39638	0.0	27.221954	2.0433536	21.933128	27.493681	25.006018	26.43236	25.343239	23.750452	22.915604	25.559399	25.873873	22.251106	0.0	11.627958	5.5816855	8.0091	9.0525675	8.621745	13.642928	6.531709	16.398087	8.714088	1.5292059	0.82450354	1.6436564
24.002666	26.99676	27.752405	23.799654	15.84029	15.630278	1.5054597	22.756178	12.959348	9.05377	5.207906	21.96931	22.986721	23.178997	22.578909	0.0	23.275812	16.108604	2.205393	18.747065	13.882413	19.852623	6.6221433	5.076581	7.5138407	0.0	20.996178	5.287314	12.957073	19.545547	16.147276	0.0	10.943369	13.071117	3.8970566	6.037711	26.548944	21.752815	18.390223	0.0	0.64600784	25.877403	0.0	7.5563784	2.0281143	1.7858663	1.4138637	10.363907	0.0	27.2439	2.0259356	21.948599	27.592194	25.123447	26.576328	25.471773	23.841536	23.10942	25.711489	26.005194	22.397078	0.0	11.734684	5.603672	7.9281106	9.061421	8.627891	13.941002	6.5283275	16.164127	8.794995	1.4848002	0.823592	1.8620641
24.147335	26.692902	27.751719	23.958378	16.07738	15.471224	1.4571637	22.620398	12.842002	9.1670475	5.296175	21.973255	23.071348	23.15136	22.687054	0.0	23.46184	16.304163	2.0681121	18.84818	13.934384	20.729273	6.6675034	5.1469445	7.484317	0.0	21.10993	5.406458	12.938984	19.583363	16.161287	0.0	10.840391	13.089884	3.9143026	6.046267	26.486841	21.786802	18.504074	0.0	0.6570415	25.962362	0.0	7.53334	1.947639	1.8616233	1.4301312	10.384362	0.0	27.158665	1.980363	22.090322	27.709545	25.167768	26.749056	25.42392	24.01812	23.145756	25.621096	26.075762	22.274971	0.0	11.631892	5.600403	7.9713764	9.060294	8.662489	13.79095	6.618856	16.283869	8.935727	1.5122765	0.82767916	1.8471639
